Rank,Company,Market Cap (USD),Country,Sector,Industry,Unnamed: 6
231,Bourse Direct,$258.8 M,France,French Financials,French Capital Markets,
232,EURO Ressources SA,"$251.9 M  (Jan. 1, 2024)",France,French Basic Materials,French Gold,
233,Societe Fermiere du Casino Municipal de Cannes,$242.8 M,France,French Consumer Discretionary,French Resorts & Casinos,
234,Lanson-BCC,$239.6 M,France,French Consumer Staples,French Beverages—Wineries & Distilleries,
235,LNA Santé SA,$236.1 M,France,French Healthcare,French Medical Care Facilities,
236,Volta Finance Ltd,$232.2 M,France,French Financials,French Asset Management,
237,Generix Group SADIR,"$223.7 M  (Aug. 1, 2022)",France,French Technology,French Software—Application,
238,AKWEL,$218.5 M,France,French Consumer Discretionary,French Auto Parts,
239,Alan Allman Associates,$216.1 M,France,French Industrials,French Consulting Services,
240,Sensorion SA,$215.5 M,France,French Healthcare,French Biotechnology,
241,Inventiva SA,$215.3 M,France,French Healthcare,French Biotechnology,
242,Bonduelle SCA,$214.5 M,France,French Consumer Staples,French Packaged Foods,
243,Nextstage SCA,"$212.8 M  (Oct. 1, 2022)",France,French Financials,French Asset Management,
244,Lumibird SA,$210.6 M,France,French Healthcare,French Diagnostics & Research,
245,Groupe Partouche SA,$208.1 M,France,French Consumer Discretionary,French Resorts & Casinos,
246,Fonciere Atland,$198.8 M,France,French Real Estate,French REIT—Diversified,
247,SQLI SA,"$197.3 M  (July 1, 2024)",France,French Technology,French Information Technology Services,
248,Groupe SFPI SA,$185.1 M,France,French Industrials,French Specialty Industrial Machinery,
249,EVOLIS,"$181.2 M  (July 1, 2023)",France,French Technology,French Computer Hardware,
(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});
250,Fountaine Pajot SA,$179.5 M,France,French Consumer Discretionary,French Leisure,
251,Genfit SA,$172.4 M,France,French Healthcare,French Biotechnology,
252,Bleecker SA,$169.7 M,France,French Real Estate,French REIT—Diversified,
253,Société Marseillaise du Tunnel Prado Carénage,$167.6 M,France,French Industrials,French Infrastructure Operations,
254,Bastide Le Confort Médical SA,$167.2 M,France,French Healthcare,French Medical Distribution,
255,Catana Group SA,$165.7 M,France,French Consumer Discretionary,French Leisure,
256,Biocorp Production,"$165.7 M  (July 1, 2023)",France,French Healthcare,French Medical Devices,
257,Cellectis SA,$163.4 M,France,French Healthcare,French Biotechnology,
258,Amplitude Surgical SA,$162.7 M,France,French Healthcare,French Medical Instruments & Supplies,
259,Nanobiotix SA,$159.3 M,France,French Healthcare,French Biotechnology,
260,Maisons du Monde SA,$157.1 M,France,French Consumer Discretionary,French Home Improvement Retail,
261,Innate Pharma SA,$156.2 M,France,French Healthcare,French Biotechnology,
262,Cegedim SA,$155.5 M,France,French Healthcare,French Health Information Services,
263,OSE Immunotherapeutics SA,$155.2 M,France,French Healthcare,French Biotechnology,
264,Foraco International SA,$154.2 M,France,French Basic Materials,French Other Industrial Metals & Mining,
265,Parrot SA,$153.4 M,France,French Technology,French Communication Equipment,
266,Cheops Technology SA,$152.0 M,France,French Technology,French Information Technology Services,
267,Gévelot SA,$148.0 M,France,French Industrials,French Specialty Industrial Machinery,
268,Hexaom SA,"$146.5 M  (March 1, 2023)",France,French Consumer Discretionary,French Residential Construction,
269,Groupe IRD,"$134.8 M  (Dec. 1, 2022)",France,French Financials,French Asset Management,
270,Cogelec SA,$134.7 M,France,French Technology,French Communication Equipment,
271,Vente-Unique.Com SA,$134.4 M,France,French Consumer Discretionary,"French Furnishings, Fixtures & Appliances",
272,Cie du Mont-Blanc,$132.9 M,France,French Consumer Discretionary,French Leisure,
273,CBo Territoria,$132.2 M,France,French Real Estate,French Real Estate—Diversified,
274,Cast SA,"$132.1 M  (Oct. 1, 2022)",France,French Technology,French Software—Application,
275,Keyrus SA,$129.0 M,France,French Technology,French Information Technology Services,
276,Societe Centrale des Bois et Scieries de la Manche SA,$127.8 M,France,French Real Estate,French REIT—Diversified,
277,La Française de l'Energie SA,$127.1 M,France,French Energy,French Oil & Gas E&P,
278,Piscines Desjoyaux SA,$127.0 M,France,French Consumer Discretionary,French Leisure,
279,Vranken-Pommery Monopole SA,$120.6 M,France,French Consumer Staples,French Beverages—Wineries & Distilleries,
(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});
280,AB Science SA,$119.8 M,France,French Healthcare,French Drug Manufacturers—Specialty & Generic,
281,Crosswood,$119.5 M,France,French Real Estate,French Real Estate Services,
282,Fleury Michon SA,$117.4 M,France,French Consumer Staples,French Packaged Foods,
283,Latécoère SA,"$117.2 M  (July 1, 2023)",France,French Industrials,French Aerospace & Defense,
284,Carbios SAS,$116.3 M,France,French Basic Materials,French Specialty Chemicals,
285,PCAS SA,"$116.3 M  (July 1, 2023)",France,French Basic Materials,French Chemicals,
286,Guillemot Corp SA,$111.5 M,France,French Technology,French Computer Hardware,
287,EuropaCorp,"$109.6 M  (Nov. 1, 2021)",France,French Communication Services,French Entertainment,
288,Oncodesign,"$105.0 M  (Dec. 1, 2022)",France,French Healthcare,French Biotechnology,
289,Eurofins-Cerep,$102.9 M,France,French Healthcare,French Drug Manufacturers—General,
290,Gascogne,$100.4 M,France,French Consumer Discretionary,French Packaging & Containers,
291,Ucar,"$98.9 M  (July 1, 2022)",France,French Industrials,French Rental & Leasing Services,
292,Cie Lebon SA,"$98.0 M  (April 1, 2023)",France,French Financials,French Asset Management,
293,Adocia SA,$97.8 M,France,French Healthcare,French Biotechnology,
